minInliningThreshold,freqInlineSize,loopMinUnroll,inlineSmallCode,maxInlineLevel,loopUnrollLimit,loopMaxUnroll,maxRecursiveInlineLevel,maxInlineSize,result
187,1692,5,11,36,214,2,49,26,3524
202,1027,9,10,38,370,2,47,22,3618
196,544,3,15,39,180,2,42,22,3785
289,802,2,10,37,380,1,46,18,3584
279,1329,10,15,22,381,2,51,17,3539
270,1970,9,10,39,286,2,51,17,3883
400,753,9,14,37,378,2,53,14,3897
197,892,2,13,21,378,2,43,22,3520
68,1970,4,15,23,381,2,50,6,3539
172,1396,2,8,20,494,0,79,8,3850
180,1008,3,9,25,364,2,55,20,3574
240,742,3,14,21,380,1,41,23,3677
173,904,3,10,20,225,3,42,26,3711
388,1889,3,15,20,390,1,47,14,3750
134,502,3,9,30,368,2,45,25,3517
168,642,4,10,21,211,2,51,20,3727
282,522,5,13,25,382,2,53,10,3950
159,1794,2,6,37,363,2,50,23,3605
218,1868,8,15,21,377,2,45,25,3520
59,797,2,7,35,325,2,41,24,3587
203,1383,10,13,27,381,2,53,25,3582
265,658,4,8,21,366,1,54,24,3556
141,611,2,7,38,379,2,39,21,3545
330,549,4,7,38,367,2,36,26,3744
159,1802,2,13,39,260,2,39,25,3579
273,675,2,15,39,371,2,50,10,3602
288,738,10,5,42,385,0,47,24,3629
330,1233,6,9,23,374,2,48,25,3536
116,1736,4,12,39,192,0,51,23,3834
368,797,10,9,23,391,0,45,23,3534
136,1675,2,15,22,366,2,58,23,3604
58,1088,2,14,26,394,2,44,21,4029
155,944,7,15,20,372,2,42,22,3511
137,1780,8,10,25,374,2,48,12,3533
387,1077,2,11,38,271,2,50,24,3600
77,1315,2,11,25,318,2,47,18,3532
71,1914,6,10,20,378,2,43,21,3512
75,1219,2,5,36,384,2,34,10,3871
63,1296,9,15,21,385,2,42,26,4008
171,521,2,11,35,157,2,50,23,3811
187,1872,7,15,25,367,2,47,26,3529
206,1529,4,11,26,240,2,52,6,3498
379,1357,2,12,36,382,2,50,24,4092
288,1943,8,8,21,381,2,47,22,3523
373,1837,2,9,27,363,1,51,24,3556
263,1170,2,14,39,465,0,53,21,3920
106,1727,3,7,28,381,2,48,22,3545
376,1127,8,10,24,393,0,55,17,3569
332,580,2,8,20,383,0,52,23,3500
107,664,8,12,22,247,2,43,22,3725
94,1383,3,12,26,382,2,38,26,4031
230,710,2,10,38,362,2,43,21,3575
337,1184,6,9,21,374,2,63,26,3842
382,670,9,9,26,395,0,56,17,3886
80,1954,4,7,44,466,1,42,6,3826
92,1188,2,8,26,285,2,49,7,3543
65,1691,3,12,21,379,1,51,15,3540
239,1972,6,14,28,284,2,52,9,3558
97,506,3,8,27,370,2,57,25,3572
320,1595,4,12,24,380,1,54,10,3565
86,1982,9,9,29,379,2,55,8,3890
227,1415,2,8,26,287,2,42,11,3696
253,558,2,11,26,360,2,45,21,3491
189,927,8,8,23,376,2,39,26,3524
253,1376,6,13,21,381,2,47,19,3525
111,1770,8,11,22,382,2,46,9,4016
77,1800,8,9,20,384,1,51,22,3758
220,1632,2,9,25,382,2,42,21,4014
309,1001,2,12,33,378,2,47,15,3608
155,787,10,10,36,414,1,48,16,3838
190,619,2,6,38,397,2,46,21,4067
208,1373,9,10,26,339,2,46,21,3543
247,513,10,9,21,379,2,51,20,3501
79,1019,4,5,28,372,2,50,21,3565
65,1037,4,11,22,369,2,39,9,3696
392,1659,7,5,20,371,2,43,26,3695
83,1827,2,12,24,255,2,49,9,3550
222,505,10,13,20,378,2,59,18,3806
52,1143,2,7,27,257,1,61,24,3871
360,725,3,14,27,393,0,50,24,3555
194,1479,2,10,21,380,1,54,25,3582
311,1886,6,7,24,375,2,47,26,3534
209,1975,8,8,26,377,2,58,20,3891
299,979,3,10,28,467,0,52,22,3557
375,1624,2,7,30,303,2,50,26,3576
340,1646,5,13,30,477,0,52,19,3580
325,693,6,12,23,380,2,46,9,3526
281,1542,4,8,37,468,0,51,25,3875
163,1880,7,11,24,379,2,41,15,3527
343,1186,10,8,22,381,2,40,9,3692
123,727,6,12,24,381,2,47,26,3530
272,826,2,7,39,365,2,47,7,3595
90,1789,2,10,23,339,2,43,26,3532
147,559,2,6,38,284,2,50,23,3563
222,1564,9,11,23,218,2,53,7,3731
141,1096,3,6,26,366,2,44,17,3525
274,518,9,14,20,425,0,55,18,3510
169,687,9,5,29,370,2,47,18,3573
86,1874,7,15,20,377,1,49,6,3543
337,1528,3,9,25,377,2,52,8,3546
253,1348,5,14,30,376,2,47,19,3568
66,1725,9,15,21,380,2,41,19,3691
173,1092,5,15,20,385,0,44,26,3512
206,1984,2,9,26,368,2,43,23,3522
63,669,3,6,25,380,2,46,9,3533
273,1001,2,12,23,423,0,80,20,3949
352,1185,5,14,28,382,2,52,19,4049
334,1982,3,8,42,379,2,50,18,3928
280,1681,5,15,28,341,2,42,23,3524
241,559,2,7,39,353,2,49,12,3562
339,1433,7,11,27,381,2,45,25,3543
188,534,9,7,23,376,2,48,10,3492
395,843,2,6,39,377,1,46,16,3602
210,766,8,10,22,375,2,45,10,3532
200,938,9,12,23,380,2,50,19,3549
120,885,4,12,24,380,2,45,23,3528
51,653,6,11,27,381,1,52,11,3558
252,1892,2,14,25,372,2,44,18,3547
