minInliningThreshold,freqInlineSize,loopMinUnroll,inlineSmallCode,maxInlineLevel,loopUnrollLimit,loopMaxUnroll,maxRecursiveInlineLevel,maxInlineSize,result
173,886,9,6,44,106,0,12,21,3907
329,705,7,9,45,119,3,15,26,3761
262,1631,8,6,52,100,1,16,24,3611
399,1227,10,7,51,194,2,69,17,3719
328,1212,10,6,44,195,0,10,26,3942
128,857,8,12,40,116,0,12,25,3904
172,1624,9,5,44,153,1,19,19,3861
241,1007,7,5,43,122,1,13,24,3305
346,901,10,8,44,127,0,29,21,3544
241,1356,7,15,44,165,0,10,24,3282
255,886,7,10,44,108,2,11,20,3277
212,606,9,10,41,124,2,16,25,3018
345,1006,9,15,42,108,2,17,19,3286
343,936,7,12,45,119,1,15,22,3815
207,764,10,5,43,150,1,16,25,3282
220,1696,7,8,45,102,1,11,26,3247
235,737,8,7,44,162,1,11,20,3253
386,690,8,7,41,156,0,35,26,3267
196,582,9,12,41,156,0,15,21,3787
348,1060,9,12,44,173,2,19,24,3813
265,1596,9,12,44,133,1,12,26,3244
376,1163,8,13,42,121,0,18,26,3267
396,1287,7,6,43,141,1,44,25,3249
287,527,7,13,41,130,2,17,21,3236
389,678,10,7,41,134,2,72,22,3742
356,1165,8,6,49,114,0,12,24,3269
270,1959,7,5,43,104,1,43,18,3232
318,1275,8,14,43,122,0,18,18,3793
232,658,7,9,40,134,0,10,20,3789
242,1132,8,6,47,102,1,35,21,3777
321,1213,9,12,46,118,1,19,24,3249
206,1614,8,6,51,116,0,13,21,3838
284,675,8,8,39,138,1,42,23,3484
258,550,8,10,41,188,2,10,25,3830
222,544,9,10,41,104,1,31,24,3793
290,748,9,15,46,156,0,13,21,3251
325,1267,9,10,50,113,2,18,25,3266
286,1881,10,7,47,101,2,15,20,3244
226,1714,7,8,49,103,1,10,24,3258
234,768,8,10,44,124,0,22,26,3279
218,845,9,14,47,167,0,13,25,3287
102,1466,7,8,50,121,1,10,22,3280
261,866,7,6,46,113,1,14,23,3030
84,668,8,7,47,110,0,12,25,3285
341,1066,8,10,42,111,1,16,22,3293
267,838,7,12,43,103,0,13,26,3272
366,665,9,13,42,118,0,81,25,3992
333,1986,7,7,45,115,2,15,26,3245
101,967,7,8,50,145,1,16,25,3568
103,690,8,10,44,125,0,10,23,3273
336,1488,8,15,42,130,1,30,25,3245
79,622,8,15,40,113,1,10,23,3617
267,801,9,14,42,108,2,14,26,3288
343,1986,9,5,41,144,2,29,22,3790
303,577,10,10,44,136,2,15,26,3799
192,930,8,12,44,102,0,12,25,3853
380,922,8,15,47,101,0,23,25,3272
334,718,7,13,44,110,1,22,25,3239
267,546,7,8,44,118,2,13,19,3252
237,1512,9,5,48,124,2,16,24,3018
302,959,10,11,46,118,0,19,22,3285
214,1736,8,9,42,116,0,14,23,3285
256,1747,8,8,41,140,2,12,24,3272
147,1806,7,10,47,107,1,12,20,3269
153,1225,7,8,47,120,0,17,23,3795
294,854,8,15,43,110,0,27,21,3275
326,657,8,6,48,117,1,27,25,3266
249,1814,7,8,48,115,1,10,23,3781
192,726,9,14,40,115,2,12,25,3614
331,866,8,9,41,125,1,12,25,3295
354,846,7,5,47,108,2,24,25,3809
259,1119,10,14,43,109,0,14,20,3295
281,766,6,7,45,117,2,14,25,3240
268,734,7,8,42,130,2,14,25,3521
297,686,9,11,41,128,0,49,25,3666
330,584,9,15,43,125,0,23,22,3769
245,1629,9,6,44,100,0,13,23,3260
395,1370,8,12,43,123,1,16,21,3228
328,1535,10,15,43,150,1,20,20,2969
313,1293,10,11,45,120,1,25,25,3796
258,766,10,11,41,120,0,11,22,3276
265,1030,9,5,41,142,0,12,20,3599
201,561,6,14,42,109,0,18,25,3310
310,1206,9,6,50,143,1,10,21,3801
382,1981,8,7,52,110,1,11,23,3008
220,1592,8,15,49,101,1,19,20,3813
222,1978,10,7,51,154,1,18,25,3297
326,695,9,9,47,138,0,16,22,3791
379,1057,10,14,43,154,1,17,22,3281
279,756,7,6,42,128,1,30,24,3232
338,1061,8,14,47,120,0,35,26,3605
291,610,8,10,48,102,2,18,20,3266
233,1862,6,6,50,171,1,15,22,3654
294,930,9,14,43,152,0,20,23,3275
238,770,7,12,48,102,1,15,19,3814
232,1756,9,6,44,141,2,19,24,3252
397,1565,9,6,49,115,0,24,24,3812
214,1579,8,11,51,108,1,11,23,3289
252,1357,10,6,48,146,1,14,20,3788
384,1064,7,10,42,115,0,35,23,3823
278,984,8,11,50,114,1,11,23,3676
56,976,7,9,41,106,1,19,26,3891
254,850,9,11,42,113,1,19,18,3561
226,1525,6,9,51,108,1,11,24,3774
397,1814,10,8,50,105,1,14,26,3010
366,1509,9,7,43,153,1,26,26,3308
303,1617,7,5,42,183,1,36,22,3880
82,1276,9,7,49,136,2,13,25,3256
367,1755,9,13,41,144,1,19,21,3778
288,1756,10,9,49,105,1,16,20,3257
387,1524,10,8,54,163,2,13,23,3448
230,1461,8,5,43,118,0,18,26,3762
331,1206,8,7,40,116,1,15,26,3243
54,1399,8,5,52,148,2,14,26,3852
212,1548,9,15,44,110,1,16,21,3247
376,1355,10,15,46,112,0,14,19,3776
225,1270,10,13,44,155,0,19,26,3803
231,1595,7,6,49,108,1,18,23,3254
400,902,9,5,37,123,2,16,23,3697
207,1611,7,11,44,114,2,14,26,3800
396,1948,10,11,52,141,2,18,18,3616
358,876,7,8,47,112,1,12,21,3814
377,1352,10,5,61,106,1,44,26,3612
138,1149,9,6,41,114,2,16,21,3270
176,1460,8,8,54,124,1,18,25,3882
323,1182,9,8,48,159,2,20,23,3287
228,1235,9,10,51,150,2,19,25,3324
198,817,6,11,41,141,0,19,23,3266
373,1426,9,7,46,224,1,15,24,3723
284,1716,7,5,42,164,1,32,25,3803
239,1188,9,11,45,140,0,14,26,2974
349,1836,9,13,51,119,0,16,23,3278
277,1615,9,12,41,104,2,18,25,3756
221,1260,7,6,52,154,0,16,26,3621
323,1378,10,7,45,128,1,15,20,3252
247,1176,6,6,42,130,0,11,25,3773
367,1604,9,13,52,113,2,12,25,3561
358,664,9,14,49,105,1,18,26,3261
322,1553,10,13,47,146,2,12,25,3788
240,1262,8,12,43,121,0,19,25,3232
282,1346,10,8,49,129,0,15,23,3790
232,1929,10,13,53,107,1,12,26,3566
343,1313,8,8,46,121,0,15,26,3252
334,1725,8,7,41,112,1,21,22,3248
116,786,9,15,45,161,1,13,20,3814
261,723,8,11,46,130,1,19,25,3793
277,539,8,15,43,138,2,26,25,3254
195,1330,8,10,47,113,0,13,26,3865
278,1364,9,6,49,108,1,22,23,3794
212,633,9,13,45,115,1,22,26,3257
265,1703,7,7,45,153,1,11,21,3813
204,1068,9,12,41,107,0,12,26,3924
312,855,9,7,50,115,1,19,22,3584
293,1958,8,15,48,130,1,15,22,3796
199,1207,9,5,49,122,1,19,26,3269
375,1294,10,14,42,160,1,34,24,3855
198,1206,10,7,42,105,2,20,24,3260
246,1094,7,8,41,115,2,16,22,3291
329,932,7,7,43,141,1,22,25,3809
235,1555,10,8,46,109,1,12,20,3781
267,1338,8,9,47,117,1,13,25,3518
139,744,6,7,45,113,0,32,21,3783
351,740,8,6,43,143,1,10,23,3273
331,1943,10,6,46,107,1,15,25,3253
246,672,8,5,49,141,1,22,24,3265
331,725,10,15,43,119,2,10,25,3017
215,554,9,13,50,125,2,20,25,3283
307,568,7,9,45,114,2,21,25,3749
83,1379,9,7,43,132,1,16,26,3258
