minInliningThreshold,freqInlineSize,loopMinUnroll,inlineSmallCode,maxInlineLevel,loopUnrollLimit,loopMaxUnroll,maxRecursiveInlineLevel,maxInlineSize,result
50,2000,2,15,20,100,0,10,6,3654
50,2000,2,15,20,100,0,10,6,3652
50,2000,2,15,20,100,0,10,6,3650
50,2000,2,15,20,100,0,10,6,3594
50,2000,2,15,20,100,0,10,6,3655
50,2000,2,15,20,100,0,10,6,3591
50,2000,2,15,20,100,0,10,6,3653
50,2000,2,15,20,100,0,10,6,3595
50,2000,2,15,20,100,0,10,6,3593
50,2000,2,15,20,100,0,10,6,3655
50,2000,2,15,20,100,0,10,6,3651
50,2000,2,15,20,100,0,10,6,3657
50,2000,2,15,20,100,0,10,6,3597
50,2000,2,15,20,100,0,10,6,3652
50,2000,2,15,20,100,0,10,6,3589
50,2000,2,15,20,100,0,10,6,3654
50,2000,2,15,20,100,0,10,6,3663
50,2000,2,15,20,100,0,10,6,3594
50,2000,2,15,20,100,0,10,6,3654
50,2000,2,15,20,100,0,10,6,3658
50,2000,2,15,20,100,0,10,6,3591
50,2000,2,15,20,100,0,10,6,3660
50,2000,2,15,20,100,0,10,6,3654
50,2000,2,15,20,100,0,10,6,3662
50,2000,2,15,20,100,0,10,6,3652
50,2000,2,15,20,100,0,10,6,3654
50,2000,2,15,20,100,0,10,6,3651
50,2000,2,15,20,100,0,10,6,3658
50,2000,2,15,20,100,0,10,6,3653
50,2000,2,15,20,100,0,10,6,3654
50,2000,2,15,20,100,0,10,6,3599
50,2000,2,15,20,100,0,10,6,3655
50,2000,2,15,20,100,0,10,6,3587
50,2000,2,15,20,100,0,10,6,3590
50,2000,2,15,20,100,0,10,6,3664
50,2000,2,15,20,100,0,10,6,3653
50,2000,2,15,20,100,0,10,6,3658
50,2000,2,15,20,100,0,10,6,3656
50,2000,2,15,20,100,0,10,6,3652
50,2000,2,15,20,100,0,10,6,3648
50,2000,2,15,20,100,0,10,6,3651
50,2000,2,15,20,100,0,10,6,3661
50,2000,2,15,20,100,0,10,6,3659
50,2000,2,15,20,100,0,10,6,3651
50,2000,2,15,20,100,0,10,6,3653
50,2000,2,15,20,100,0,10,6,3758
50,2000,2,15,20,100,0,10,6,3591
50,2000,2,15,20,100,0,10,6,3650
50,2000,2,15,20,100,0,10,6,3664
50,2000,2,15,20,100,0,10,6,3591
50,2000,2,15,20,100,0,10,6,3653
50,2000,2,15,20,100,0,10,6,3649
50,2000,2,15,20,100,0,10,6,3647
50,2000,2,15,20,100,0,10,6,3589
50,2000,2,15,20,100,0,10,6,3652
50,2000,2,15,20,100,0,10,6,3593
50,2000,2,15,20,100,0,10,6,3656
50,2000,2,15,20,100,0,10,6,3652
50,2000,2,15,20,100,0,10,6,3388
50,2000,2,15,20,100,0,10,6,3655
50,2000,2,15,20,100,0,10,6,3649
50,2000,2,15,20,100,0,10,6,3587
50,2000,2,15,20,100,0,10,6,3658
50,2000,2,15,20,100,0,10,6,3660
50,2000,2,15,20,100,0,10,6,3591
50,2000,2,15,20,100,0,10,6,3658
50,2000,2,15,20,100,0,10,6,3655
50,2000,2,15,20,100,0,10,6,3653
50,2000,2,15,20,100,0,10,6,3657
50,2000,2,15,20,100,0,10,6,3658
50,2000,2,15,20,100,0,10,6,3656
50,2000,2,15,20,100,0,10,6,3656
50,2000,2,15,20,100,0,10,6,3662
50,2000,2,15,20,100,0,10,6,3596
50,2000,2,15,20,100,0,10,6,3658
50,2000,2,15,20,100,0,10,6,3658
50,2000,2,15,20,100,0,10,6,3579
50,2000,2,15,20,100,0,10,6,3657
50,2000,2,15,20,100,0,10,6,3657
50,2000,2,15,20,100,0,10,6,3659
50,2000,2,15,20,100,0,10,6,3650
50,2000,2,15,20,100,0,10,6,3663
50,2000,2,15,20,100,0,10,6,3650
50,2000,2,15,20,100,0,10,6,3590
50,2000,2,15,20,100,0,10,6,3654
50,2000,2,15,20,100,0,10,6,3660
50,2000,2,15,20,100,0,10,6,3663
50,2000,2,15,20,100,0,10,6,3657
50,2000,2,15,20,100,0,10,6,3656
50,2000,2,15,20,100,0,10,6,3658
50,2000,2,15,20,100,0,10,6,3658
50,2000,2,15,20,100,0,10,6,3590
50,2000,2,15,20,100,0,10,6,3652
50,2000,2,15,20,100,0,10,6,3655
50,2000,2,15,20,100,0,10,6,3658
50,2000,2,15,20,100,0,10,6,3595
50,2000,2,15,20,100,0,10,6,3660
50,2000,2,15,20,100,0,10,6,3580
50,2000,2,15,20,100,0,10,6,3657
50,2000,2,15,20,100,0,10,6,3656
50,2000,2,15,20,100,0,10,6,3659
50,2000,2,15,20,100,0,10,6,3653
50,2000,2,15,20,100,0,10,6,3658
50,2000,2,15,20,100,0,10,6,3586
50,2000,2,15,20,100,0,10,6,3661
50,2000,2,15,20,100,0,10,6,3661
50,2000,2,15,20,100,0,10,6,3655
50,2000,2,15,20,100,0,10,6,3649
50,2000,2,15,20,100,0,10,6,3654
50,2000,2,15,20,100,0,10,6,3654
